artist,album,release-date,listeners,playcount,tags,ignored tags
Cradle of Filth,Midian,2000-10-30,174759,3096529,['black metal'],"['Symphonic Black Metal', 'Gothic Metal', 'albums I own', 'metal']"
Queensrÿche,Queensrÿche,1982,17428,249651,['heavy metal'],"['Progressive metal', 'albums I own', '1983', 'Megadeth']"
Shadows Fall,The War Within,2004-09-21,174232,1363389,"['metalcore', 'thrash metal']","['metal', 'albums I own', 'Melodic Death Metal']"
Tormentor,Anno Domini,1988-08,17409,355573,['black metal'],"['first wave black metal', 'albums I own', 'hungarian', 'kvlt']"
Symphony X,Paradise Lost,2007-06-22,173992,3525463,['symphonic metal'],"['Progressive metal', 'Power metal', 'albums I own', 'progressive power metal']"
Tankard,Zombie Attack,1986,17361,419590,['thrash metal'],"['german thrash metal', 'thrash', 'german', '1986']"
Artillery,By Inheritance,1990-06-18,17353,644700,"['thrash metal', 'heavy metal']","['Technical Thrash Metal', 'thrash', '1990']"
Dark Tranquillity,Fiction,2007-04-18,173439,6041119,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', 'Masterpiece']"
Necrovore,Divus De Mortuus,2019,1724,27777,[],"['old school death metal', '1986', 'Raw Death Metal']"
Bathory,The Return......,1985-05-27,17189,470484,"['black metal', 'thrash metal', 'speed metal']","['1985', 'old school black metal']"
Slayer,Hell Awaits,1985-09-01,171280,2727729,"['thrash metal', 'speed metal']","['1985', 'albums I own', 'metal']"
Mayhem,De Mysteriis Dom Sathanas,1994-05-24,171196,3814705,['black metal'],"['Norwegian Black Metal', 'True Norwegian Black Metal', '1994', 'true black metal']"
Mayhem,De Mysteriis Dom Sathanas,1994-05-24,171196,3814705,['black metal'],"['Norwegian Black Metal', 'True Norwegian Black Metal', '1994', 'true black metal']"
Iron Maiden,The Final Frontier,2010-08-13,170721,5066461,['heavy metal'],"['albums I own', '2010', 'Progressive metal', 'metal']"
Origin,Entity,2011-06-07,17072,573370,['death metal'],"['Technical Death Metal', 'Brutal Technical Death Metal', 'Brutal Death Metal', '2011']"
Black Sabbath,Mob Rules,1981-11-04,169651,2165045,['heavy metal'],"['hard rock', '1981', 'albums I own', 'metal']"
Demons & Wizards,Demons & Wizards,2000-01-11,169614,2695754,"['heavy metal', 'melodic metal']","['Power metal', 'metal', 'albums I own']"
Devourment,Molesting the Decapitated,1999-07,16943,347131,['death metal'],"['Brutal Death Metal', '1999', 'Slamming Brutal Death Metal', 'albums I own']"
Kreator,Enemy of God,2005-01-10,168967,3286776,['thrash metal'],"['albums I own', 'metal', 'Melodic Thrash Metal', 'german']"
Isis,Oceanic,2002-09-13,168754,4112948,[],"['Post-Metal', 'Sludge', 'Progressive metal', '2002', 'albums I own']"
Burzum,Dauði Baldrs,1997-10-14,16824,307252,[],"['dark ambient', 'ambient', 'dungeon synth', 'medieval', 'instrumental']"
Iron Maiden,The X Factor,1995-10-02,167836,3235023,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1995']"
Sonata Arctica,Reckoning Night,2004-10-06,167725,5110216,"['symphonic metal', 'melodic metal']","['Power metal', 'albums I own', 'finnish']"
1349,Revelations of the Black Flame,2009-05-25,16760,316064,"['black metal', 'ambient black metal']","['dark ambient', 'metal', 'ambient']"
Ozzy Osbourne,The Ultimate Sin,1986-02-22,167293,1672260,['heavy metal'],"['hard rock', '1986', 'albums I own', '80s']"
Deafheaven,Sunbather,2013-05-28,167177,4632068,['blackgaze'],"['2013', 'Post-Black Metal', 'Officially Shit', 'shit only a fag would listen to']"
Agalloch,The Mantle,2002-08-13,167059,5922083,"['folk metal', 'doom metal', 'black metal']","['albums I own', '2002']"
Jag Panzer,Ample Destruction,1984-08,16625,280032,['heavy metal'],"['Power metal', 'US Power Metal', 'classic', 'albums I own']"
Slayer,Diabolus In Musica,1998-06-09,164824,3216856,['thrash metal'],"['albums I own', 'groove metal', '1998', 'Nu Metal']"
Black Sabbath,Sabotage,1975-07-28,164764,2622019,['heavy metal'],"['hard rock', 'albums I own', '1975', 'metal']"
Thorns,Thorns,2001-03-05,16463,339858,['black metal'],"['industrial black metal', 'metal', 'experimental', 'industrial metal']"
Behemoth,Demigod,2004-11-08,163324,5041276,"['death metal', 'black metal']","['Blackened Death Metal', 'albums I own', 'polish']"
Eluveitie,Slania,2008-02-15,163115,7598966,"['folk metal', 'pagan metal', 'celtic metal']","['Melodic Death Metal', 'albums I own']"
Pestilence,Malleus Maleficarum,1988,16310,367354,"['thrash metal', 'death metal']","['old school death metal', 'Technical Death Metal', '1988']"
Iced Earth,The Dark Saga,1996-05-20,162084,2361867,"['heavy metal', 'thrash metal']","['Power metal', 'albums I own', 'metal']"
Children of Bodom,Blooddrunk,2008-04-09,161595,4460836,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', '2008']"
Rush,Hemispheres,1978-11,161540,1485167,[],"['Progressive rock', 'hard rock', 'albums I own', 'classic rock', '1978']"
Megadeth,The World Needs A Hero,2001-05-12,161272,2845260,"['thrash metal', 'heavy metal', 'speed metal']","['albums I own', '2001']"
Manowar,Battle Hymns,1982,161190,1765191,['heavy metal'],"['albums I own', 'Power metal', '1982', '80s']"
Isis,Panopticon,2004-10-19,160128,4282224,[],"['Post-Metal', 'Progressive metal', '2004', 'Sludge', 'post-rock']"
Judas Priest,Defenders of the Faith,1984-01-04,160088,2467475,['heavy metal'],"['albums I own', 'metal', '1984', '80s']"
Velvet Cacoon,Genevieve,2004-09-14,15936,268520,"['black metal', 'ambient black metal']","['atmospheric black metal', '2004', 'dark ambient']"
Electric Wizard,Dopethrone,2000-09-25,159037,3630901,"['doom metal', 'stoner metal']","['stoner doom', '2000', 'Doom']"
Iron Maiden,Virtual XI,1998-03-18,158891,2700827,"['heavy metal', 'NWOBHM']","['albums I own', '1998', 'metal']"
Judas Priest,Sad Wings of Destiny,1976,158664,2039913,['heavy metal'],"['hard rock', '1976', 'albums I own', 'metal']"
Ayreon,The Human Equation,2004-05-24,158169,5483630,[],"['Progressive metal', 'concept album', 'Progressive rock', 'rock opera', 'albums I own']"
Dark Tranquillity,Damage Done,2002-07-17,157639,4707016,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', '2002']"
DragonForce,Valley of the Damned,2003-01-27,157113,2615692,"['speed metal', 'heavy metal']","['Power metal', 'albums I own', 'metal']"
Slaughter,Strappado,1987,15698,261810,"['thrash metal', 'death metal']","['old school death metal', 'old school thrash metal', 'metal']"
Death,The Sound of Perseverance,1998-09-15,156085,4332633,['death metal'],"['progressive death metal', 'Technical Death Metal', 'Progressive metal', 'albums I own']"
Opeth,"My Arms, Your Hearse",1998-06-15,155987,4249298,['death metal'],"['progressive death metal', 'albums I own', 'Progressive metal', '1998']"
Arch Enemy,Rise of the Tyrant,2007-09-19,154585,3965664,"['death metal', 'thrash metal']","['Melodic Death Metal', 'albums I own', '2007']"
Slayer,World Painted Blood,2009-10-28,153889,4965010,['thrash metal'],"['2009', 'albums I own', 'metal', 'Slayer']"
Sepultura,Arise,1992-02-24,153878,3263131,"['thrash metal', 'death metal']","['albums I own', 'metal', '1991']"
Anthrax,State Of Euphoria,1988-09-18,153427,1427677,"['thrash metal', 'heavy metal']","['albums I own', '1988', 'metal']"
Black Sabbath,13,2013-06-07,153258,2928416,"['heavy metal', 'doom metal']","['2013', 'hard rock', 'metal']"
Def Leppard,Pyromania,1983-01-20,152329,2036467,['heavy metal'],"['hard rock', '80s', 'albums I own', 'rock']"
Weakling,Dead as Dreams,2000,15201,279055,['black metal'],"['atmospheric black metal', '2000', 'favorite albums', 'my albums']"
Whitechapel,This Is Exile,2008-07-08,151758,3584703,"['deathcore', 'death metal', 'metalcore']","['brutal deathcore', 'albums I own']"
Arch Enemy,Wages of Sin,2001-04-25,151494,2959494,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', '2001']"
Exumer,Possessed By Fire,1986-11-08,15072,476456,"['thrash metal', 'speed metal']","['german thrash metal', 'albums I own', '1986']"
Opeth,Morningrise,1996-06-24,150099,2612486,['death metal'],"['progressive death metal', 'Progressive metal', 'albums I own', 'metal']"
Blind Guardian,A Twist in the Myth,2006-08-30,149633,4603309,['heavy metal'],"['Power metal', 'albums I own', 'Progressive metal', 'metal']"
Satyricon,"Now, Diabolical",2006-04-14,149435,3217976,['black metal'],"['albums I own', 'Norwegian Black Metal', 'Black n Roll', 'metal']"
Death,Human,1991-10-22,149398,3635672,['death metal'],"['Technical Death Metal', 'albums I own', 'progressive death metal', '1991']"
Abominable Putridity,The Anomalies of Artificial Origin,2012-02-28,14887,524524,"['death metal', 'grindcore']","['Brutal Death Metal', 'Slamming Brutal Death Metal', '2012']"
Helloween,The Dark Ride,2000-10-21,148852,2787924,"['heavy metal', 'speed metal']","['Power metal', 'albums I own', '2000']"
Morbid Angel,Altars of Madness,1989,148466,3106184,['death metal'],"['1989', 'albums I own', 'old school death metal', 'metal']"
Job for a Cowboy,Doom,2005-11-09,148164,2088689,"['deathcore', 'death metal']","['Bree Breee', 'albums I own', 'metal']"
Judas Priest,Stained Class,1978-02,147781,1696804,"['heavy metal', 'NWOBHM']","['albums I own', '1978', 'metal']"
Exodus,Bonded by Blood,1985,147746,2272123,"['thrash metal', 'speed metal']","['1985', 'albums I own', 'Masterpiece']"
Blut aus Nord,777 - Sect(s),2011-04-18,14594,154042,['black metal'],"['2011', 'atmospheric black metal', 'industrial black metal', 'industrial metal']"
Stratovarius,Visions,1997-04-23,145822,1763461,['symphonic metal'],"['Power metal', 'albums I own', '1997', 'stratovarius']"
Panopticon,Kentucky,2012-06-04,14536,314627,[],"['blackgrass', 'favorite albums', 'political', 'bluegrass', '2012']"
Emperor,In the Nightside Eclipse,1994-02-21,145190,2830201,['black metal'],"['Symphonic Black Metal', 'albums I own', 'Norwegian Black Metal', 'melodic black metal']"
Amorphis,Eclipse,2005-12,144870,4339779,['death metal'],"['Progressive metal', 'albums I own', 'Melodic Death Metal', 'metal']"
Nachtmystium,Instinct: Decay,2006-05-30,14447,333510,['black metal'],"['psychedelic black metal', 'albums I own', 'metal', 'Psychedelic Rock']"
Mastodon,The Hunter,2011-09-27,144398,6737992,"['sludge metal', 'stoner metal']","['Progressive metal', '2011', 'albums I own']"
Dark Angel,Leave Scars,1989-04-21,14425,249943,['thrash metal'],"['Technical Thrash Metal', 'albums I own', '1989', '718 Metal']"
Death,Scream Bloody Gore,1987-05-25,143738,3476103,"['death metal', 'thrash metal']","['old school death metal', 'albums I own', '1987']"
Necrophobic,The Nocturnal Silence,1993-08-02,14266,285286,"['death metal', 'black metal']","['Blackened Death Metal', 'albums I own', '1993']"
Ghost,Opus Eponymous,2010-10-18,142141,5766070,"['heavy metal', 'doom metal']","['2010', 'hard rock', 'Psychedelic Rock']"
Forbidden,Twisted Into Form,1990-03-30,14192,350487,['thrash metal'],"['Technical Thrash Metal', 'bay area thrash metal', '1990', 'albums I own']"
Dream Theater,Six Degrees of Inner Turbulence,2002-01-21,141735,4392079,[],"['Progressive metal', 'albums I own', 'Progressive rock', 'concept album', '2002']"
Type O Negative,Bloody Kisses,1993-08-17,141655,3696151,['doom metal'],"['Gothic Metal', 'albums I own', 'metal', '1993']"
Ensiferum,Victory Songs,2007-03-23,141410,4605117,"['folk metal', 'viking metal']","['Melodic Death Metal', 'albums I own', 'finnish']"
Dethklok,The Dethalbum,2007-09-25,141364,6960024,['death metal'],"['Melodic Death Metal', 'blacker than the blackest black times infinity', 'metal', 'Soundtrack']"
Queensrÿche,Operation: Mindcrime,1988-05-02,141155,2862093,['heavy metal'],"['Progressive metal', 'concept album', 'albums I own', 'metal']"
Down,NOLA,1995-09-15,140925,5352344,"['sludge metal', 'stoner metal', 'heavy metal']","['albums I own', 'Southern metal']"
Slayer,Undisputed Attitude,1996-05-18,139938,2865234,['thrash metal'],"['hardcore', 'hardcore punk', 'punk', 'albums I own']"
Type O Negative,October Rust,1996-08-20,139636,4328498,['doom metal'],"['Gothic Metal', 'albums I own', '1996', 'favorite albums']"
Slayer,Divine Intervention,1994-09-27,139423,2772392,"['thrash metal', 'speed metal']","['albums I own', '1994', 'metal']"
Judas Priest,Turbo,1986-04-14,139398,1516220,['heavy metal'],"['albums I own', 'hard rock', '1986', 'Glam Metal']"
Fates Warning,No Exit,1988,13937,230498,['heavy metal'],"['Progressive metal', '1988', 'metal', 'rock']"
Accept,Metal Heart,1985-03-12,139065,1475950,['heavy metal'],"['albums I own', '1985', 'metal', '80s']"
Sonata Arctica,Unia,2007-05-23,138828,4847777,['melodic metal'],"['Power metal', 'Progressive metal', 'albums I own', 'metal']"
Job for a Cowboy,Genesis,2007-05-15,138032,2411456,"['death metal', 'deathcore']","['albums I own', '2007', 'metal']"
Nile,Annihilation of the Wicked,2005-05-23,137834,3538117,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', 'albums I own', '2005']"
Forefather,Steadfast,2008-02-11,13732,342219,"['black metal', 'viking metal', 'folk metal']","['melodic black metal', 'best of 2008']"
Amorphis,Tales From the Thousand Lakes,1994-07-12,136222,2284116,"['death metal', 'doom metal']","['Melodic Death Metal', 'albums I own', 'Death Doom Metal']"
Dark Angel,Time Does Not Heal,1991-02-19,13584,260946,['thrash metal'],"['albums I own', '1991', 'progressive thrash metal', 'Technical Thrash Metal']"
Sigh,In Somniphobia,2012-03-12,13579,332719,"['black metal', 'symphonic metal']","['2012', 'Progressive metal', 'Avant-garde Metal']"
Cerebral Bore,Maniacal Miscreation,2010-08-01,13577,366550,"['death metal', 'grindcore']","['Brutal Death Metal', '2011', 'Slamming Brutal Death Metal']"
Cellador,Enter Deception,2006-06-21,13554,165610,['heavy metal'],"['Power metal', 'albums I own', 'metal', '2006']"
Iced Earth,Horror Show,2001-06-21,135483,2182453,"['heavy metal', 'thrash metal']","['Power metal', 'albums I own', 'metal']"
Death,Individual Thought Patterns,1993-06-22,135038,3924360,['death metal'],"['Technical Death Metal', 'albums I own', 'progressive death metal', 'metal']"
Overkill,White Devil Armory,2014-07-16,13487,288702,"['thrash metal', 'heavy metal', 'speed metal']","['2014', 'albums I own']"
Meshuggah,Nothing,2002-08-06,134611,2804530,[],"['Progressive metal', 'math metal', 'Technical Metal', 'albums I own', '2002']"
Heathen,Breaking The Silence,1987,13443,333223,"['thrash metal', 'speed metal']","['bay area thrash metal', 'albums I own', '1980s']"
Anthrax,Fistful of Metal,1984-01,134245,1535470,"['thrash metal', 'speed metal', 'heavy metal']","['1984', 'albums I own']"
Behemoth,The Apostasy,2007-06-29,134235,4234552,"['death metal', 'black metal']","['Blackened Death Metal', 'albums I own', '2007']"
Demolition Hammer,Epidemic Of Violence,1992,13394,358891,"['thrash metal', 'death metal']","['1992', 'albums I own', 'brutal thrash metal']"
Soilwork,Natural Born Chaos,2002-03-25,133817,3560222,['death metal'],"['Melodic Death Metal', 'albums I own', 'Swedish Metal', 'metal']"
Absu,Abzu,2011-10-04,13360,216743,"['black metal', 'thrash metal']","['2011', 'blackened thrash metal', 'metal']"
Metallica,Metallica,1991-08-12,1334481,30436374,"['heavy metal', 'thrash metal']","['albums I own', 'metal', 'hard rock']"
Testament,Souls of Black,1990-09-24,133119,1509845,"['thrash metal', 'heavy metal']","['1990', 'albums I own', 'metal']"
Dream Theater,Black Clouds & Silver Linings,2009-06-19,132599,4208974,[],"['Progressive metal', 'albums I own', '2009', 'Progressive rock', 'metal']"
Sacramentum,Far Away from the Sun,1996,13220,300284,['black metal'],"['melodic black metal', 'swedish black metal', 'favorite albums', 'albums I own']"
Sonata Arctica,Winterheart's Guild,2003-02-21,132007,3299181,"['symphonic metal', 'melodic metal']","['Power metal', 'albums I own', '2003']"
Necrophagist,Epitaph,2004-08-03,131990,3233592,['death metal'],"['Technical Death Metal', 'progressive death metal', 'Brutal Death Metal', 'albums I own']"
Dark Tranquillity,Character,2005-01-19,131861,4577379,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', 'gothenburg metal']"
Bathory,Blood Fire Death,1988-10-08,131745,2625079,"['black metal', 'viking metal', 'thrash metal']","['albums I own', '1988']"
Immortal,Sons of Northern Darkness,2002-02-05,131644,2938823,['black metal'],"['albums I own', 'Norwegian Black Metal', 'melodic black metal', 'True Norwegian Black Metal']"
Kamelot,Ghost Opera,2007-03-29,131368,3380220,['symphonic metal'],"['Power metal', 'albums I own', 'symphonic power metal', 'metal']"
Megadeth,Endgame,2009-09-09,130715,5012867,"['thrash metal', 'heavy metal']","['albums I own', '2009', 'metal']"
Mercyful Fate,Melissa,1983,130691,1713766,"['heavy metal', 'black metal']","['1983', 'metal', 'albums I own']"
Lykathea Aflame,Elvenefris,2000-10-31,13023,478802,['death metal'],"['Technical Death Metal', 'progressive death metal', 'Progressive metal', 'Brutal Death Metal']"
Strapping Young Lad,Alien,2005-03-21,130044,2950245,['death metal'],"['industrial metal', 'Progressive metal', 'albums I own', 'Extreme Metal']"
Finntroll,Nattfödd,2004-04-19,129241,2391551,"['folk metal', 'black metal', 'viking metal']","['finnish', 'albums I own']"
Dead Congregation,Graves Of The Archangels,2008-01-30,12877,457453,"['death metal', 'doom metal']","['2008', 'best of 2008', 'my albums']"
Kvist,For Kunsten Maa Vi Evig Vike,1996-01-01,12845,232248,['black metal'],"['Norwegian Black Metal', 'melodic black metal', 'norwegian', '1996']"
Hell,Human Remains,2011-05-13,12717,275777,"['heavy metal', 'NWOBHM']","['2011', 'metal', 'epic']"
Dimmu Borgir,In Sorte Diaboli,2007-04-24,127010,3342401,['black metal'],"['Symphonic Black Metal', 'albums I own', 'melodic black metal', 'metal']"
Evoken,Antithesis of Light,2005-03-21,12656,267618,"['doom metal', 'funeral doom']","['funeral doom metal', '2005', 'albums I own']"
Black Sabbath,Paranoid,1970-09-18,1260373,15311059,['heavy metal'],"['hard rock', 'albums I own', 'classic rock', '70s']"
Bloodbath,Nightmares Made Flesh,2004-09-27,125795,3859518,['death metal'],"['albums I own', 'Brutal Death Metal', 'Swedish Death Metal', 'swedish']"
Autopsy,Macabre Eternal,2011-05-16,12578,310547,['death metal'],"['2011', 'old school death metal', '2010s', 'metal']"
Venom,Welcome To Hell,1981,125553,1903279,"['black metal', 'heavy metal', 'thrash metal', 'speed metal', 'NWOBHM']",[]
Helstar,Nosferatu,1989-09-19,12552,212231,"['heavy metal', 'thrash metal']","['Power metal', 'Progressive metal', 'Progressive']"
Nokturnal Mortum,Голос Сталі,2009-12-26,12552,531940,"['black metal', 'folk metal']","['Folk Black Metal', 'pagan black metal', '2009']"
Testament,Practice What You Preach,1989-08-04,125184,1457763,['thrash metal'],"['albums I own', '1989', 'metal', '80s']"
Grave Digger,Heavy Metal Breakdown,1984,12515,172756,"['heavy metal', 'speed metal']","['80s', 'german', '1984']"
Exodus,Tempo of the Damned,2004-02-02,125011,1688945,"['thrash metal', 'heavy metal']","['albums I own', 'metal', '2004']"
Psychotic Waltz,A Social Grace,1990,12469,327727,['thrash metal'],"['Progressive metal', '1990', 'metal', 'USA']"
Helloween,Helloween,1985-03,12443,149280,"['speed metal', 'heavy metal']","['Power metal', '1985', 'kai hansen']"
Soundgarden,Superunknown,1994-03-07,1242769,15141929,[],"['Grunge', 'albums I own', '90s', 'rock', 'favorite albums']"
Scar Symmetry,Pitch Black Progress,2006-04-21,124229,3866541,['death metal'],"['Melodic Death Metal', 'albums I own', 'Progressive metal', 'metal']"
Enforcer,Into the Night,2008-11-18,12395,287503,"['speed metal', 'heavy metal', 'NWOTHM']","['metal', '2008']"
Earth,Earth 2: Special Low Frequency Version,1993-02-05,12355,101451,"['doom metal', 'drone metal']","['drone', 'drone doom', '1993']"
Angra,Rebirth,2001-10-24,122562,2473740,"['heavy metal', 'melodic metal']","['Power metal', 'metal', 'Progressive metal']"
Testament,The Ritual,1992-05-11,121797,1381039,"['thrash metal', 'heavy metal']","['1992', 'albums I own', 'metal']"
Caladan Brood,Echoes of Battle,2013-02-15,12164,542563,['black metal'],"['2013', 'epic black metal', 'atmospheric black metal', 'Symphonic Black Metal']"
Bruce Dickinson,Tyranny Of Souls,2005-05-23,121435,1535796,['heavy metal'],"['albums I own', 'metal', '2005', 'bruce dickinson']"
Cannibal Corpse,Kill,2006-03-21,121361,3087382,"['death metal', 'grindcore']","['Brutal Death Metal', 'albums I own', 'metal']"
Mr. Bungle,Mr. Bungle,1991-08-13,121050,1927996,[],"['experimental', 'albums I own', 'Avant-Garde', 'mike patton', 'funk']"
Bruce Dickinson,The Chemical Wedding,1998-09-09,119977,1517168,['heavy metal'],"['albums I own', 'metal', 'bruce dickinson', '1998']"
Overkill,Taking Over,1987-09-01,119535,994784,"['thrash metal', 'speed metal', 'heavy metal']","['metal', 'thrash']"
Burzum,Det Som Engang Var,1993-08-20,119450,2376883,"['black metal', 'ambient black metal']","['atmospheric black metal', 'albums I own', 'dark ambient']"
Darkthrone,Transilvanian Hunger,1994-02-17,119011,2356407,['black metal'],"['albums I own', 'Norwegian Black Metal', 'True Norwegian Black Metal', '1994']"
Manowar,The Triumph of Steel,1992-09-29,118539,1360205,['heavy metal'],"['albums I own', 'Power metal', '1992', 'true metal']"
Kreator,Pleasure To Kill,1986-11,118344,1947762,"['thrash metal', 'teutonic thrash metal']","['albums I own', '1986', 'german thrash metal']"
Trivium,Shogun,2008-09-24,118314,5622333,"['thrash metal', 'metalcore']","['metal', 'albums I own', 'best trivium album']"
Napalm Death,Scum,1987,118265,2832338,"['grindcore', 'death metal']","['1987', 'albums I own', 'Grind']"
Katatonia,Last Fair Deal Gone Down,2001-05-08,118189,4346511,['doom metal'],"['albums I own', 'depressive rock', '2001', 'Gothic Metal']"
Behemoth,The Satanist,2014-02-03,117783,4875419,"['black metal', 'death metal']","['2014', 'Blackened Death Metal', 'albums I own']"
Sodom,Obsessed by Cruelty,1986-05,11699,293890,"['thrash metal', 'black metal', 'teutonic thrash metal']","['1986', 'german']"
DragonForce,Ultra Beatdown,2008-08-20,116872,2092450,['speed metal'],"['Power metal', 'Extreme Power Metal', 'metal', 'albums I own']"
Abigail Williams,Legend,2007-01,11642,185693,"['metalcore', 'black metal']","['blackcore', 'metal', 'Melodic Death Metal']"
Death,Leprosy,1988-11-16,115042,2484094,['death metal'],"['albums I own', 'old school death metal', '1988', 'metal']"
Emperor,Anthems To The Welkin At Dusk,1997-05-19,114835,2380390,['black metal'],"['Symphonic Black Metal', 'albums I own', 'Norwegian Black Metal', 'metal']"
Sepultura,Beneath the Remains,1989-11-05,114792,2468535,"['thrash metal', 'death metal']","['albums I own', '1989', 'metal']"
All Shall Perish,The Price Of Existence,2006-08-04,114088,3395601,"['deathcore', 'metalcore', 'grindcore', 'death metal']",['2006']
Savatage,Hall of the Mountain King,1987,113947,1169180,['heavy metal'],"['Power metal', 'Progressive metal', 'metal', '1987']"
Opeth,Heritage,2011-09-14,113862,4576150,[],"['Progressive rock', '2011', 'Progressive metal', 'grandpa rock', 'albums I own']"
Black Sabbath,Dehumanizer,1992-06-22,113759,1798962,['heavy metal'],"['albums I own', '1992', 'metal', 'hard rock']"
Sepultura,Schizophrenia,1987-10-30,113448,1565401,"['thrash metal', 'death metal']","['1987', 'albums I own', 'metal']"
Blind Guardian,Somewhere Far Beyond,1992-06-29,113214,3199505,"['speed metal', 'heavy metal']","['Power metal', 'albums I own', '1992']"
Helloween,Walls Of Jericho,,112698,1644592,"['speed metal', 'heavy metal']","['Power metal', '1985', 'metal']"
Disma,Towards the Megalith,2011-07-19,11241,252016,['death metal'],"['2011', 'old school death metal', 'Death Doom Metal', 'metal']"
Burzum,Hvis lyset tar oss,1994-04,112403,1594703,"['black metal', 'ambient black metal']","['atmospheric black metal', 'albums I own', 'dark ambient']"
Amon Amarth,Surtur Rising,2011-03-25,112016,4491475,"['viking metal', 'death metal']","['Melodic Death Metal', '2011', 'albums I own']"
Therion,Vovin,1998-05-04,111712,2346358,['symphonic metal'],"['albums I own', 'Gothic Metal', 'metal', 'Progressive metal']"
Testament,The Formation Of Damnation,2008-04-25,111504,2335335,"['thrash metal', 'heavy metal']","['2008', 'metal', 'albums I own']"
Alice in Chains,Dirt,1992-09-29,1114307,20719008,[],"['Grunge', 'albums I own', '90s', 'rock', 'alternative']"
Kreator,Coma of Souls,1990-11-06,111406,1670249,['thrash metal'],"['1990', 'german thrash metal', 'metal', 'albums I own']"
Katatonia,Tonight's Decision,1999-08-31,110234,3262182,['doom metal'],"['albums I own', 'depressive rock', 'Gothic Metal', 'Dark metal']"
Morbid Angel,Blessed Are The Sick,1991-05-22,110076,2177946,['death metal'],"['1991', 'albums I own', 'old school death metal', 'metal']"
Moonspell,Wolfheart,1995-04-01,109930,1834623,['black metal'],"['Gothic Metal', 'albums I own', '1995', 'Dark metal']"
Behemoth,Evangelion,2009-08-07,109787,4490639,"['death metal', 'black metal']","['Blackened Death Metal', 'albums I own', '2009']"
Amon Amarth,Once Sent From The Golden Hall,1998-02-10,109716,2221181,"['death metal', 'viking metal']","['Melodic Death Metal', 'albums I own', 'metal']"
Carcass,Swansong,1995,109593,2371904,['death metal'],"['Melodic Death Metal', 'death n roll', 'albums I own', 'metal']"
Turisas,Battle Metal,2004-07-23,109437,2918714,"['folk metal', 'viking metal', 'symphonic metal']","['battle metal', 'albums I own']"
Judas Priest,Sin After Sin,1977-04-08,108722,1296960,['heavy metal'],"['albums I own', '1977', 'hard rock', '70s']"
Alcest,Souvenirs d'un autre Monde,2007-07-03,108564,3396061,['blackgaze'],"['shoegaze', 'atmospheric black metal', '2007', 'post-rock']"
Sabaton,Primo Victoria,2005-03-04,108535,3880601,"['heavy metal', 'war metal']","['Power metal', 'Sabaton', 'albums I own']"
Whitechapel,The Somatic Defilement,2007-07-31,107972,2249037,"['deathcore', 'metalcore', 'death metal']","['brutal deathcore', '2007']"
Nevermore,Dead Heart in a Dead World,2000-09-17,107905,1764360,['thrash metal'],"['Progressive metal', 'albums I own', 'progressive thrash metal', 'Power metal']"
The Black Dahlia Murder,Unhallowed,2003-06-17,107645,2812932,"['death metal', 'deathcore']","['Melodic Death Metal', 'albums I own', 'metal']"
Megadeth,Risk,1999-08-18,107141,2095135,"['heavy metal', 'thrash metal']","['albums I own', 'hard rock', '1999']"
Ghost,Infestissumam,2013-04-10,107101,5059593,['heavy metal'],"['2013', 'albums I own', 'best of 2013', 'hard rock']"
Amorphis,Silent Waters,2007-08-22,106458,3859608,['doom metal'],"['Progressive metal', 'Melodic Death Metal', 'albums I own', 'metal']"
Pain of Salvation,Be,2004-09-24,106359,2774753,[],"['Progressive metal', 'concept album', 'Progressive rock', 'albums I own', 'Progressive']"
Abyssic Hate,Suicidal Emotions,2000-05,10633,199780,['black metal'],"['depressive black metal', 'Suicidal Black Metal', 'classic', 'albums I own']"
Fates Warning,The Spectre Within,1985,10551,145737,['heavy metal'],"['Progressive metal', '1985', 'metal', '80s']"
Blut aus Nord,Memoria Vetusta I: Fathers of the Icy Age,1996,10540,182696,['black metal'],"['atmospheric black metal', '1996', 'metal', 'atmospheric']"
Meshuggah,Koloss,2012-03-23,105314,3324635,[],"['Progressive metal', '2012', 'math metal', 'DJENT', 'Technical Metal']"
Liege Lord,Master Control,1988-08-01,10531,181540,"['speed metal', 'heavy metal', 'thrash metal']","['1988', 'Power metal']"
My Dying Bride,Like Gods of the Sun,1996-10-07,105264,1659232,['doom metal'],"['albums I own', 'Gothic Metal', 'metal', 'Doom']"
Cradle of Filth,Thornography,2006-10-09,105189,2533014,[],"['albums I own', 'Symphonic Black Metal', 'Extreme Gothic Metal', 'metal', 'melodic black metal']"
Primordial,Redemption at the Puritan's Hand,2011-04-23,10487,349944,"['pagan metal', 'black metal', 'folk metal']","['2011', 'best of 2011']"
Entombed,Left Hand Path,1990-06,104868,2152882,['death metal'],"['old school death metal', '1990', 'albums I own', 'Swedish Death Metal']"
