artist,album,release-date,listeners,playcount,tags,ignored tags
Nevermore,Enemies of Reality,2003-07-21,65876,996089,['thrash metal'],"['Progressive metal', 'albums I own', 'progressive thrash metal', '2003']"
Moonspell,Night Eternal,2008-05-16,65549,1492131,"['doom metal', 'black metal']","['Gothic Metal', 'albums I own', 'Dark metal']"
Ulver,Kveldssanger,1996-03,65471,2488678,[],"['folk', 'acoustic', 'neofolk', 'ambient', 'medieval']"
Iced Earth,Burnt Offerings,1995-03,65372,972242,"['heavy metal', 'thrash metal']","['Power metal', 'albums I own', '1995']"
Insomnium,Since the Day It All Came Down,2004-03-29,65242,2469499,[],"['Melodic Death Metal', 'Progressive metal', 'albums I own', 'finnish metal', '2004']"
Katatonia,Discouraged Ones,1998-04-27,65170,2636989,['doom metal'],"['depressive rock', '1998', 'Gothic Metal', 'melancholic']"
Emperor,Emperor,1993,6514,65161,['black metal'],"['1993', 'Symphonic Black Metal']"
My Dying Bride,Turn Loose the Swans,1993-10,65026,995354,['doom metal'],"['albums I own', 'Death Doom Metal', 'Gothic Metal', '1993']"
Overkill,The Years of Decay,1989-10-13,64822,1035925,"['thrash metal', 'speed metal']","['albums I own', '1989', 'metal']"
Saint Vitus,Born Too Late,1986,64376,894072,['doom metal'],"['Traditional Doom Metal', '1986', 'Doom', 'albums I own']"
Darkthrone,Soulside Journey,1991-01-13,64279,1207820,['death metal'],"['old school death metal', 'albums I own', 'atmospheric death metal', '1991']"
Exodus,Fabulous Disaster,1989-01-13,64233,1112707,['thrash metal'],"['80s', 'metal', 'bay area thrash metal', 'albums I own']"
Possessed,Seven Churches,1985-12,64038,1422498,"['death metal', 'thrash metal']","['old school death metal', '1985', 'albums I own']"
Alice in Chains,Facelift,1990-08-28,636740,10968059,[],"['Grunge', 'albums I own', '90s', 'hard rock', 'rock']"
Sodom,M-16,2001-10-22,63417,1536844,"['thrash metal', 'heavy metal']","['2001', 'german thrash metal', 'albums I own']"
Watchtower,Energetic Disassembly,1985,6326,116346,['thrash metal'],"['Technical Thrash Metal', 'Progressive metal', 'albums I own', '1985']"
Amorphis,The Karelian Isthmus,1992-11-01,63092,840320,['death metal'],"['Melodic Death Metal', 'albums I own', 'Death Doom Metal', 'old school death metal']"
Nile,Those Whom the Gods Detest,2009-11-03,62891,2014417,['death metal'],"['Technical Death Metal', '2009', 'Brutal Death Metal', 'albums I own']"
Immortal,Damned in Black,2000-04-05,62834,1119405,['black metal'],"['metal', 'albums I own', '2000', 'Norwegian Black Metal']"
Heaven & Hell,The Devil You Know,2009-04-24,62821,1559860,"['heavy metal', 'doom metal']","['2009', 'albums I own', 'metal']"
Metallica,Death Magnetic,2008-09-06,624032,21228199,"['thrash metal', 'heavy metal']","['albums I own', 'metal', '2008']"
Gorgoroth,Pentagram,1994-10-12,62348,1157258,['black metal'],"['Norwegian Black Metal', 'True Norwegian Black Metal', 'albums I own', '1994']"
Black Sabbath,The Eternal Idol,1987-11-01,62014,801384,['heavy metal'],"['hard rock', '1987', '80s', 'metal']"
Black Sabbath,Seventh Star,1986-01-28,62000,799847,['heavy metal'],"['hard rock', '1986', '80s', 'Glenn Hughes']"
Decapitated,Winds Of Creation,2000-04-17,61959,1134145,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', '2000', 'albums I own']"
Bolt Thrower,Realm Of Chaos: Slaves To Darkness,1989-10-28,619,17684,"['grindcore', 'death metal']","['metal', 'old school death metal']"
Dimmu Borgir,Stormblåst,1996-01-25,61485,1227235,['black metal'],"['Symphonic Black Metal', 'melodic black metal', 'albums I own', '1996']"
Dio,Holy Diver,1983-05-25,614827,7516556,['heavy metal'],"['albums I own', 'hard rock', '1983', 'metal']"
Suffocation,Effigy of the Forgotten,1991-10-22,61475,1209634,['death metal'],"['Brutal Death Metal', 'Technical Death Metal', 'old school death metal', '1991']"
Halford,Resurrection,2000-08-07,61403,804228,['heavy metal'],"['2000', 'albums I own', 'metal', 'RockPearls']"
Moonsorrow,Kivenkantaja,2003-03-10,60913,1296037,"['viking metal', 'folk metal', 'black metal', 'pagan metal']",['albums I own']
Kreator,Endless Pain,1985-10,60752,1038710,"['thrash metal', 'black metal']","['albums I own', '1985', 'german thrash metal']"
Ozzy Osbourne,Blizzard of Ozz,1980-09-18,607513,4858875,['heavy metal'],"['hard rock', 'albums I own', '80s', '1980']"
Dimmu Borgir,For All Tid,1994-12-01,60636,1092389,['black metal'],"['Symphonic Black Metal', 'albums I own', 'atmospheric black metal', 'melodic black metal']"
Satyricon,The Age of Nero,2008-11-03,59898,1846088,['black metal'],"['Norwegian Black Metal', '2008', 'metal', 'albums I own']"
Agalloch,Marrow of the Spirit,2010-11-23,59855,1772641,"['black metal', 'folk metal']","['2010', 'atmospheric black metal', 'homoerotic wet dream nostalgia metal']"
Enslaved,Frost,1994-08-04,59764,851297,"['black metal', 'viking metal']","['1994', 'albums I own', 'Norwegian Black Metal']"
Iron Maiden,Powerslave,1984-09-03,593018,9451916,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1984']"
Bloodbath,The Fathomless Mastery,2008-10-06,59271,2493737,['death metal'],"['albums I own', 'Brutal Death Metal', '2008', 'swedish']"
Emperor,IX Equilibrium,1999-02-22,59217,1095590,['black metal'],"['albums I own', 'Symphonic Black Metal', '1999', 'progressive black metal']"
Diamond Head,Lightning to the Nations,1980-10-03,59099,576866,"['heavy metal', 'NWOBHM']","['1980', '80s', 'metal']"
Metallica,Load,1996-06-01,590931,15024995,['heavy metal'],"['albums I own', 'hard rock', 'metal', 'rock']"
Judas Priest,Rocka Rolla,1974-09-06,58971,1035527,['heavy metal'],"['hard rock', '1974', '70s', 'albums I own']"
Mayhem,Chimera,2004-03-29,58969,1053899,['black metal'],"['technical black metal', 'Norwegian Black Metal', 'albums I own', 'True Norwegian Black Metal']"
Lamb of God,Ashes Of The Wake,2004-08-30,588351,11198545,"['metalcore', 'thrash metal']","['albums I own', 'groove metal', 'metal']"
Sodom,Persecution Mania,1987-12-01,58737,1370454,"['thrash metal', 'teutonic thrash metal', 'speed metal']","['albums I own', '1987']"
Deicide,Legion,1992-05-26,58638,925516,['death metal'],"['1992', 'albums I own', 'old school death metal', 'Brutal Death Metal']"
